score_col,top50_score_min,top50_score_max,label0_count,label1_count,dup_score_mean,original_ood_mean,final_ood_mean,panelness_anchor_max_rank_mean,panelness_anchor_top3_rank_mean,panelness_anchor_top5_rank_mean,panelness_anchor_proto_rank_mean,panelness_nn1_rank_mean
ood_score_original,0.7122507122507135,1.0,30,20,0.02,0.895384615384616,0.36815335632319557,0.6449926793557833,0.6016837481698389,0.5433089311859444,0.4694143484626647,0.1699926793557833
global_nn1_ood,0.9641288433382138,1.0,29,21,0.0,0.6995767195767202,0.3644981488334346,0.5232137628111274,0.5021083455344071,0.4673792093704246,0.529121522693997,0.018667642752562226
ood_score_v3_max,0.2720139250153896,0.9934114202049781,29,21,0.02,0.6989173789173796,0.5324575351983848,0.2621229868228404,0.2461493411420205,0.2440702781844802,0.4079209370424598,0.20433382137628112
ood_score_v3_top3,0.3058682546237452,0.9993411420204978,26,24,0.02,0.7386975986975993,0.5058457212220027,0.3346120058565154,0.26626647144948756,0.23502196193265007,0.3673060029282577,0.20121522693997076
ood_score_v3_top5,0.3503660322108345,0.9993411420204978,27,23,0.04,0.7627431827431833,0.4914522894815724,0.371207906295754,0.30276720351390923,0.23721815519765743,0.32303074670571014,0.20543923865300148
ood_score_v3_proto,0.36881405563689607,0.9973645680819913,27,23,0.04,0.8106715506715513,0.4119767074203387,0.5191288433382137,0.4480966325036603,0.3614348462664715,0.2804831625183016,0.278601756954612
