score_col,top50_score_min,top50_score_max,label0_count,label1_count,dup_score_mean,original_ood_mean,final_ood_mean,panelness_anchor_max_rank_mean,panelness_anchor_top3_rank_mean,panelness_anchor_top5_rank_mean,panelness_anchor_proto_rank_mean,panelness_nn1_rank_mean
ood_score_original,0.7122507122507135,1.0,30,20,0.02,0.895384615384616,0.40690412131114945,0.589194729136164,0.5161639824304539,0.4209224011713031,0.3443191800878477,0.3607540263543192
global_nn1_ood,0.9641288433382138,1.0,25,25,0.0,0.2620431420431422,0.20561518200903278,0.11617862371888726,0.09055636896046851,0.07087847730600294,0.0802489019033675,0.018667642752562226
ood_score_v3_max,0.3295943522883494,0.9980234260614934,28,22,0.0,0.7080341880341886,0.5832416706443065,0.1898243045387994,0.18150805270863835,0.1812445095168375,0.21849194729136162,0.2422693997071742
ood_score_v3_top3,0.3739815306433171,0.9980234260614934,28,22,0.0,0.7564428164428173,0.5558214209736909,0.2767203513909224,0.21664714494875553,0.19560761346998537,0.21723279648609076,0.25708638360175695
ood_score_v3_top5,0.4118850077854478,0.996705710102489,26,24,0.0,0.8104517704517711,0.5103240503870083,0.38536603221083454,0.30407027818448024,0.2252562225475842,0.18679355783308932,0.33029282576866764
ood_score_v3_proto,0.4282868858271499,0.9887994143484626,28,22,0.0,0.8220675620675627,0.4754085187628384,0.44141288433382136,0.36576866764275257,0.2699267935578331,0.1714641288433382,0.34735724743777446
