epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc,loss_gap_val_minus_train,auc_gap_train_minus_val
1,0.6431932274675195,0.6684981684981685,0.7000313261399234,0.6135861202530617,0.7007299270072993,0.7800254241972034,-0.029607107214457806,-0.07999409805728008
2,0.30389824749785904,0.88003663003663,0.9446188652975983,0.6835706867005703,0.708029197080292,0.7541590670425028,0.37967243920271126,0.1904597982550955
3,0.15399667162161607,0.9487179487179487,0.9861016359206405,0.7593106333791775,0.6897810218978102,0.7579726966230033,0.6053139617575614,0.22812893929763722
4,0.11834736850672152,0.9642857142857143,0.990073094326488,0.8161442362750969,0.7153284671532847,0.7521693472613719,0.6977968677683754,0.2379037470651162
5,0.11102980936812612,0.9606227106227107,0.9917751479289941,0.8476543158945375,0.6532846715328468,0.7444315481125298,0.7366245065264114,0.24734359981646437
6,0.08774196301269663,0.9688644688644689,0.9949982596588931,0.8370157416338904,0.7372262773722628,0.7620626761731056,0.7492737786211937,0.23293558348578747
7,0.10174696684402205,0.9642857142857143,0.9927567003132615,1.0446126343560045,0.718978102189781,0.7591333664953297,0.9428656675119824,0.23362333381793177
8,0.11879178878916052,0.9624542124542125,0.9894987817612252,0.9094510985551959,0.656934306569343,0.74448681810645,0.7906593097660354,0.24501196365477518
9,0.08368582514561576,0.9597069597069597,0.9957988165680473,0.9488151925106119,0.7153284671532847,0.761233626264301,0.8651293673649961,0.23456519030374623
10,0.06874695561839875,0.9725274725274725,0.996752523494605,1.1595005797643732,0.6788321167883211,0.7181230310064667,1.0907536241459743,0.2786294924881383
