epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc,loss_gap_val_minus_train,auc_gap_train_minus_val
1,0.6257014864093655,0.6703296703296703,0.7185624782457362,0.6425467949279033,0.6532846715328468,0.7605703863372575,0.016845308518537827,-0.04200790809152133
2,0.2973096010449168,0.8818681318681318,0.9477375565610859,0.6996220444893315,0.718978102189781,0.7753274747139778,0.4023124434444147,0.17241008184710815
3,0.16503552347421646,0.9459706959706959,0.9837382526975286,0.7538335842155192,0.708029197080292,0.7572541867020395,0.5887980607413027,0.2264840659954891
4,0.11363029681937599,0.9624542124542125,0.9922206752523495,0.798975847172041,0.7007299270072993,0.7690266954070635,0.685345550352665,0.223193979845286
5,0.09314265405766038,0.967948717948718,0.99481726418378,0.8510757745617498,0.7408759124087592,0.7937323826894379,0.7579331205040893,0.20108488149434212
6,0.07687031990770019,0.9743589743589743,0.9959832927253742,0.9168865714412536,0.6861313868613139,0.753108937158017,0.8400162515335534,0.24287435556735726
7,0.09713331096201808,0.9615384615384616,0.9946536721197354,1.0460762703505746,0.6824817518248175,0.7550986569391478,0.9489429593885566,0.23955501518058764
8,0.09568799233180045,0.9725274725274725,0.9926348764357815,0.8684538976989523,0.7007299270072993,0.7594649864588516,0.7727659053671518,0.2331698899769299
9,0.08518458741133685,0.9706959706959707,0.9952975983292724,1.0070713571388357,0.7116788321167883,0.7661526557232079,0.9218867697274988,0.22914494260606455
10,0.07566110599076464,0.9743589743589743,0.9954298642533936,1.1608998037494012,0.7226277372262774,0.7453158680152545,1.0852386977586366,0.2501139962381391
