score_col,top50_score_min,top50_score_max,label0_count,label1_count,dup_score_mean,original_ood_mean,final_ood_mean,panelness_anchor_max_rank_mean,panelness_anchor_top3_rank_mean,panelness_anchor_top5_rank_mean,panelness_anchor_proto_rank_mean,panelness_nn1_rank_mean
ood_score_original,0.7122507122507135,1.0,30,20,0.02,0.895384615384616,0.44507363012780327,0.6449926793557833,0.6016837481698389,0.5433089311859444,0.4694143484626647,0.1699926793557833
global_nn1_ood,0.9641288433382138,1.0,29,21,0.0,0.6995767195767202,0.43898711483191755,0.5232137628111274,0.5021083455344071,0.4673792093704246,0.529121522693997,0.018667642752562226
ood_score_v3_max,0.3069546120058565,0.9937774524158126,30,20,0.02,0.7409768009768015,0.5434002095188045,0.320497803806735,0.31279648609077604,0.30443631039531477,0.460073206442167,0.136705710102489
ood_score_v3_top3,0.31804713100467175,0.9953147877013178,29,21,0.02,0.7669190069190076,0.5354692821954905,0.3687408491947292,0.3145827232796486,0.27954612005856516,0.42064421669106883,0.13839677891654467
ood_score_v3_top5,0.3440077085757913,0.9953147877013178,29,21,0.0,0.7738135938135943,0.5300458715678339,0.3886163982430454,0.3307759882869692,0.27259150805270865,0.3941874084919473,0.12389458272327966
ood_score_v3_proto,0.38190790826222787,0.9937774524158126,28,22,0.02,0.8337891737891744,0.4728981876265921,0.5176939970717424,0.463718887262079,0.3907613469985359,0.325710102489019,0.17827232796486092
