run,epoch,train_rows,use_dup_weight,train_loss,train_acc,train_auc,train_sum_sample_weight,train_mean_sample_weight,elapsed_sec,val_all_n,val_all_loss,val_all_acc,val_all_auc,val_without_candidates_n,val_without_candidates_loss,val_without_candidates_acc,val_without_candidates_auc,val_candidates_only_n,val_candidates_only_loss,val_candidates_only_acc,val_candidates_only_auc
R1_top50_fold_balanced_remove,1,1050,False,0.6026103873479934,0.6933333333333334,0.7429321053758835,1050.0,1.0,6.9459991455078125,274,0.6056801570157935,0.7372262773722628,0.7816282540208921,266,0.5357973719001713,0.7593984962406015,0.8155864197530863,8,2.9292969703674316,0.0,0.0
R1_top50_fold_balanced_remove,2,1050,False,0.2441447373940831,0.8895238095238095,0.9668329100755746,1050.0,1.0,6.104267597198486,274,0.7169535145924909,0.7335766423357665,0.7694688553584259,266,0.6072042920535669,0.7556390977443609,0.8058523266856601,8,4.3663482666015625,0.0,0.0
R1_top50_fold_balanced_remove,3,1050,False,0.131004811724027,0.9533333333333334,0.9911995532845822,1050.0,1.0,6.097330093383789,274,0.7191175539182485,0.7554744525547445,0.785497153595313,266,0.6231419627827809,0.7781954887218046,0.8161799620132953,8,3.9103851318359375,0.0,0.0
R1_top50_fold_balanced_remove,4,1050,False,0.07359154377664838,0.9809523809523809,0.9969862007771624,1050.0,1.0,6.504727363586426,274,0.9088158078872375,0.7299270072992701,0.7779251644282319,266,0.7789221688320762,0.7518796992481203,0.8092355175688509,8,5.227897644042969,0.0,0.0
R1_top50_fold_balanced_remove,5,1050,False,0.04698644604711306,0.9876190476190476,0.9985275219533092,1050.0,1.0,5.266451358795166,274,0.9773739028151018,0.7737226277372263,0.7845022937047478,266,0.7920351153925845,0.7969924812030075,0.8233618233618234,8,7.140149116516113,0.0,0.0
R1_top50_fold_balanced_remove,6,1050,False,0.04316739421870027,0.9876190476190476,0.9986422605024018,1050.0,1.0,6.457196950912476,274,1.2705997337390036,0.7664233576642335,0.7750511247443762,266,1.035221451207211,0.7894736842105263,0.8129748338081672,8,9.095866203308105,0.0,0.0
R1_top50_fold_balanced_remove,7,1050,False,0.04739123482434523,0.9809523809523809,0.9987837713796164,1050.0,1.0,6.289049863815308,274,0.913947412349882,0.7554744525547445,0.8067208312607086,266,0.7583694498341783,0.7781954887218046,0.8417022792022792,8,6.086142063140869,0.0,0.0
R1_top50_fold_balanced_remove,8,1050,False,0.07698562165899646,0.9676190476190476,0.9964392803598201,1050.0,1.0,6.196209192276001,274,1.134149968053085,0.7226277372262774,0.7835074338141823,266,0.9615455381852344,0.7443609022556391,0.8104819563152896,8,6.872415542602539,0.0,0.0
R1_top50_fold_balanced_remove,9,1050,False,0.08237572933946337,0.9695238095238096,0.995574916623321,1050.0,1.0,6.783452272415161,274,1.0640515602418106,0.7554744525547445,0.7898634831150169,266,0.8926491665660887,0.7781954887218046,0.8260327635327636,8,6.763466835021973,0.0,0.0
R1_top50_fold_balanced_remove,10,1050,False,0.1326496266892978,0.9533333333333334,0.9891189609276995,1050.0,1.0,4.877735614776611,274,0.9709214985805706,0.7007299270072993,0.7684739954678605,266,0.8378679573087764,0.7180451127819549,0.797542735042735,8,5.394675254821777,0.125,0.0
