run,epoch,train_rows,use_dup_weight,train_loss,train_acc,train_auc,train_sum_sample_weight,train_mean_sample_weight,elapsed_sec,val_all_n,val_all_loss,val_all_acc,val_all_auc,val_without_candidates_n,val_without_candidates_loss,val_without_candidates_acc,val_without_candidates_auc,val_candidates_only_n,val_candidates_only_loss,val_candidates_only_acc,val_candidates_only_auc
R2_top50_fold_balanced_remove_dup_weight,1,1050,True,0.6085257211766855,0.6914285714285714,0.7391266101643056,1005.09375,0.9572321428571429,6.459855556488037,274,0.611912237140384,0.7445255474452555,0.7793069142762394,266,0.541510818596173,0.7669172932330827,0.8136870845204178,8,2.9528188705444336,0.0,0.0
R2_top50_fold_balanced_remove_dup_weight,2,1050,True,0.24528988642711358,0.8866666666666667,0.9647790900468133,1005.09375,0.9572321428571429,6.601675987243652,274,0.6929756220239792,0.7335766423357665,0.7700768252915493,266,0.5924812420866543,0.7556390977443609,0.8050213675213675,8,4.034399509429932,0.0,0.0
R2_top50_fold_balanced_remove_dup_weight,3,1050,True,0.128691499612963,0.9523809523809523,0.9911268855368234,1005.09375,0.9572321428571429,6.683018684387207,274,0.6836658090788083,0.718978102189781,0.7877079533521252,266,0.6007030440452403,0.7406015037593985,0.8174857549857549,8,3.4418928623199463,0.0,0.0
R2_top50_fold_balanced_remove_dup_weight,4,1050,True,0.06768486393860632,0.979047619047619,0.9977128782547502,1005.09375,0.9572321428571429,5.72878623008728,274,0.8897349464632299,0.7481751824817519,0.7762117946167025,266,0.7571368486361396,0.7706766917293233,0.8116690408357076,8,5.298569202423096,0.0,0.0
R2_top50_fold_balanced_remove_dup_weight,5,1050,True,0.05057099898752692,0.9876190476190476,0.9968944099378882,1005.09375,0.9572321428571429,6.700200796127319,274,0.9862691231452636,0.7591240875912408,0.7828994638810591,266,0.7939310486155345,0.7819548872180451,0.8208689458689459,8,7.381421089172363,0.0,0.0
R2_top50_fold_balanced_remove_dup_weight,6,1050,True,0.0417639296084035,0.9857142857142858,0.9978773368417833,1005.09375,0.9572321428571429,6.392513990402222,274,1.0355590890793904,0.7335766423357665,0.7817940640026529,266,0.8466594201281554,0.7556390977443609,0.8189696106362773,8,7.316571235656738,0.0,0.0
R2_top50_fold_balanced_remove_dup_weight,7,1050,True,0.04903145105576282,0.9838095238095238,0.9984701526787626,1005.09375,0.9572321428571429,5.978482007980347,274,0.9210228598030814,0.7554744525547445,0.785828773558835,266,0.7570492289120093,0.7781954887218046,0.8244895536562203,8,6.37312126159668,0.0,0.0
R2_top50_fold_balanced_remove_dup_weight,8,1050,True,0.06040691848138711,0.9723809523809523,0.997624912033779,1005.09375,0.9572321428571429,6.46453070640564,274,0.9880927322554762,0.6897810218978102,0.7707400652185928,266,0.8702700460763803,0.706766917293233,0.8049026590693257,8,4.906109809875488,0.125,0.0
R2_top50_fold_balanced_remove_dup_weight,9,1050,True,0.10469947366542959,0.9647619047619047,0.9918535630144112,1005.09375,0.9572321428571429,4.98215389251709,274,1.1248349015920485,0.7299270072992701,0.7789752943127176,266,0.9310114670516854,0.7518796992481203,0.8104226020892686,8,7.569357872009277,0.0,0.0
R2_top50_fold_balanced_remove_dup_weight,10,1050,True,0.129260727514997,0.9504761904761905,0.9886753052045406,1005.09375,0.9572321428571429,6.521541118621826,274,0.9414880895701638,0.6970802919708029,0.7602387663737357,266,0.853864646495733,0.706766917293233,0.7800332383665717,8,3.8551158905029297,0.375,0.42857142857142855
