fold,epoch,train_rows,holdout_rows,train_loss,train_acc,train_auc,holdout_loss,holdout_acc,holdout_auc,elapsed_sec
0,1,1092,274,0.6023983361520173,0.6794871794871795,0.735085276714236,0.643571049736364,0.6678832116788321,0.7165202011827779,8.69242811203003
0,2,1092,274,0.24784460287172716,0.9111721611721612,0.9640271493212669,0.7406551230997935,0.6678832116788321,0.7386281987508981,4.488737344741821
0,3,1092,274,0.1268384508761294,0.956959706959707,0.9924295161851723,0.934553617176457,0.6934306569343066,0.7382965787873764,6.211509466171265
0,4,1092,274,0.12205935868642706,0.9624542124542125,0.9896066829098504,0.8807790199614192,0.6788321167883211,0.7533300171336982,5.779268503189087
0,5,1092,274,0.09194173767562314,0.967032967032967,0.9940306300034808,1.050875445515135,0.7116788321167883,0.7536616370972199,5.683698892593384
0,6,1092,274,0.07924796138026993,0.9734432234432234,0.9960180995475113,1.184239044622348,0.6605839416058394,0.7493505775714365,5.505980730056763
0,7,1092,274,0.07544576707586045,0.9743589743589743,0.9959136790811,1.020673725386932,0.7299270072992701,0.7584148565743658,5.768069267272949
0,8,1092,274,0.09293723574092427,0.9652014652014652,0.9946014618865298,1.187409048696069,0.6861313868613139,0.7216050406234455,4.630731821060181
0,9,1092,274,0.12421719127099265,0.9532967032967034,0.9898468499825966,1.1807256939304298,0.708029197080292,0.7740009948598905,5.8257505893707275
0,10,1092,274,0.09235890292999209,0.9642857142857143,0.9942673163940132,1.1134813238070413,0.7262773722627737,0.7643287459238379,6.389110088348389
1,1,1093,273,0.6463742233260662,0.666971637694419,0.7044000694565028,0.6183763078717521,0.6776556776556777,0.7380925822643614,5.769033908843994
1,2,1093,273,0.2739084713495007,0.8975297346752058,0.9580656363952075,0.7562083087233833,0.684981684981685,0.7250418293363079,5.638926267623901
1,3,1093,273,0.15123860419396404,0.9533394327538883,0.9863379058864385,0.8952053711091206,0.6410256410256411,0.6997769102063581,4.356022357940674
1,4,1093,273,0.15495167763977016,0.9505946935041171,0.983375586039243,0.920018152193927,0.6593406593406593,0.7092582264361406,5.716584205627441
1,5,1093,273,0.09594831252359842,0.970722781335773,0.9951554089251605,1.016381700751764,0.663003663003663,0.7131622978248745,5.332871437072754
1,6,1093,273,0.09474745743856011,0.9652333028362305,0.9938392081958674,1.038212226424025,0.6959706959706959,0.7307306190741774,5.5669426918029785
1,7,1093,273,0.09932288978068193,0.9661482159194876,0.9940857787810384,1.0242827238835694,0.6593406593406593,0.751031790295594,5.74802565574646
1,8,1093,273,0.1301382113680966,0.9515096065873742,0.9887411008855703,1.6516798923581826,0.6923076923076923,0.7202453987730062,5.558111906051636
1,9,1093,273,0.12108929353030799,0.9524245196706312,0.9902274700468832,1.227397945160285,0.7142857142857143,0.735973229224763,4.627676725387573
1,10,1093,273,0.0716306776309357,0.9725526075022873,0.9965966313596111,0.9963546356479654,0.6959706959706959,0.7518126045733408,5.441002130508423
2,1,1093,273,0.6248950115988697,0.6660567246111619,0.713300920298663,0.6338712841190479,0.7252747252747253,0.7480200780814278,5.502382516860962
2,2,1093,273,0.2720828399893786,0.9057639524245197,0.9573432887654106,0.7093634768610909,0.7435897435897436,0.7686558839933073,5.6324303150177
2,3,1093,273,0.14384369826845805,0.9542543458371455,0.9878728945997569,0.8553962763603572,0.7252747252747253,0.7691020635805912,5.832674980163574
2,4,1093,273,0.09588767751056125,0.9670631290027447,0.9943844417433583,1.003536654052908,0.684981684981685,0.7393753485778026,5.126239061355591
2,5,1093,273,0.10018965629187616,0.9688929551692589,0.9922312901545407,0.9124399802951149,0.7545787545787546,0.7858895705521473,5.2875964641571045
2,6,1093,273,0.10172275005953092,0.9624885635864593,0.9931897898940788,1.035581524252415,0.7582417582417582,0.7718906860011154,5.584795713424683
2,7,1093,273,0.07052429854931193,0.9762122598353157,0.9969612779996527,1.0160363327349675,0.7655677655677655,0.8007250418293363,5.479477882385254
2,8,1093,273,0.07409250343555869,0.9734675205855444,0.9964820281298837,1.0999958795988285,0.7326007326007326,0.7711656441717791,5.399423360824585
2,9,1093,273,0.1310947035854275,0.9524245196706312,0.9885362042021185,1.3493777622670045,0.717948717948718,0.7786391522587842,5.604652166366577
2,10,1093,273,0.12346715478044197,0.9524245196706312,0.989869769057128,1.0945338131288482,0.7252747252747253,0.7761293920803124,4.966363906860352
3,1,1093,273,0.6287128874062401,0.6861848124428179,0.7070535410193854,0.5675432821769855,0.7326007326007326,0.8202090979868758,5.683740854263306
3,2,1093,273,0.2905362289388684,0.8819762122598354,0.949600683946035,0.6600069466964665,0.7289377289377289,0.7805583361138916,5.699067831039429
3,3,1093,273,0.1566179348368876,0.9524245196706312,0.9850491064912318,0.8308570760510343,0.7252747252747253,0.768991213435658,5.449532985687256
3,4,1093,273,0.13618502708634214,0.9579139981701739,0.9888406975693502,0.6425482414580963,0.7252747252747253,0.8096429763096431,5.706319332122803
3,5,1093,273,0.09440463471711227,0.9652333028362305,0.994745292658006,0.8923615038176596,0.706959706959707,0.7793348904460016,6.079044818878174
3,6,1093,273,0.10075222516103502,0.9579139981701739,0.9938590820943761,0.7529585763211653,0.7289377289377289,0.8013013013013013,4.545958518981934
3,7,1093,273,0.14197638325481815,0.939615736505032,0.9869570657046939,0.963540948790945,0.7252747252747253,0.7623178734289845,5.601599216461182
3,8,1093,273,0.10104433404177782,0.9643183897529735,0.9929624455241154,0.9140361307304857,0.7289377289377289,0.7837281726170615,5.6016199588775635
3,9,1093,273,0.09986647676543588,0.9606587374199451,0.9932161450188016,0.9696077077816694,0.7362637362637363,0.7838950061172283,5.635446786880493
3,10,1093,273,0.07980632591798342,0.969807868252516,0.995867826038604,1.091744826390193,0.717948717948718,0.7712712712712713,5.524385690689087
4,1,1093,273,0.6486467355342491,0.6605672461116194,0.6855690166885613,0.554229050547212,0.7289377289377289,0.7820598376153931,4.701905727386475
4,2,1093,273,0.30776454171562895,0.8700823421774931,0.945930729611944,0.7426448919615902,0.684981684981685,0.7665443220998777,5.7071146965026855
4,3,1093,273,0.15674092266827905,0.9441903019213175,0.9870057204023048,0.7680529423329668,0.7032967032967034,0.7674897119341565,5.642766714096069
4,4,1093,273,0.09930494213638671,0.9725526075022873,0.994147534944499,0.7427855657188447,0.73992673992674,0.794405516627739,5.496626853942871
4,5,1093,273,0.07670879913434345,0.9743824336688015,0.9969069513661544,0.9327819487847552,0.7362637362637363,0.788621955288622,5.701781511306763
4,6,1093,273,0.06339260780704971,0.979871912168344,0.9978765699828318,1.0361608451039568,0.73992673992674,0.7840618396173951,5.584190607070923
4,7,1093,273,0.09598600917154103,0.9661482159194876,0.9940015708516658,1.1076302153327853,0.7106227106227107,0.7698253809364921,4.5875959396362305
4,8,1093,273,0.08676131465706603,0.9661482159194876,0.9944881178277762,1.0301638154974788,0.6703296703296703,0.7347347347347346,5.547454833984375
4,9,1093,273,0.07865815752842834,0.9734675205855444,0.9957531399656637,0.9747995427168306,0.684981684981685,0.758981203425648,5.430399179458618
