left,right,n,overlap_count,overlap_ratio,overlap_ids
ood_score_v1,ood_score_v2,50,24,0.48,"train_00003,train_00020,train_00058,train_00149,train_00179,train_00226,train_00231,train_00314,train_00325,train_00365,train_00423,train_00459,train_00487,train_00562,train_00572,train_00692,train_00762,train_00777,train_00910,train_00986,train_01003,train_01138,train_01220,train_01307"
ood_score_v2,ood_score_v2_q95_q995,50,50,1.0,"train_00003,train_00012,train_00020,train_00051,train_00058,train_00070,train_00101,train_00149,train_00179,train_00204,train_00226,train_00231,train_00248,train_00314,train_00319,train_00325,train_00365,train_00423,train_00434,train_00459,train_00478,train_00487,train_00562,train_00572,train_00587,train_00692,train_00726,train_00742,train_00762,train_00774,train_00777,train_00834,train_00901,train_00910,train_00931,train_00955,train_00973,train_00978,train_00986,train_00990,train_01003,train_01046,train_01113,train_01138,train_01220,train_01223,train_01242,train_01245,train_01283,train_01307"
mislabel_score_v1,mislabel_score_v2_add,50,48,0.96,"train_00006,train_00023,train_00026,train_00040,train_00119,train_00132,train_00160,train_00188,train_00199,train_00235,train_00241,train_00261,train_00280,train_00298,train_00302,train_00389,train_00514,train_00518,train_00570,train_00591,train_00597,train_00633,train_00669,train_00706,train_00784,train_00799,train_00816,train_00912,train_00915,train_00964,train_00975,train_01009,train_01069,train_01100,train_01102,train_01118,train_01119,train_01122,train_01130,train_01133,train_01186,train_01197,train_01216,train_01265,train_01290,train_01300,train_01319,train_01337"
mislabel_score_v1,mislabel_score_v2_mul,50,48,0.96,"train_00006,train_00023,train_00026,train_00040,train_00119,train_00132,train_00160,train_00188,train_00199,train_00235,train_00241,train_00261,train_00280,train_00298,train_00302,train_00389,train_00514,train_00518,train_00570,train_00591,train_00597,train_00633,train_00669,train_00706,train_00784,train_00799,train_00816,train_00912,train_00915,train_00964,train_00975,train_01009,train_01069,train_01100,train_01102,train_01118,train_01119,train_01122,train_01130,train_01133,train_01186,train_01197,train_01216,train_01265,train_01290,train_01300,train_01319,train_01337"
mislabel_score_v2_add,mislabel_score_v2_mul,50,50,1.0,"train_00006,train_00023,train_00026,train_00040,train_00119,train_00132,train_00160,train_00188,train_00199,train_00235,train_00241,train_00261,train_00280,train_00298,train_00302,train_00389,train_00514,train_00518,train_00570,train_00591,train_00597,train_00633,train_00669,train_00706,train_00784,train_00796,train_00799,train_00816,train_00912,train_00915,train_00964,train_00975,train_01009,train_01069,train_01100,train_01102,train_01118,train_01119,train_01122,train_01130,train_01133,train_01172,train_01186,train_01197,train_01216,train_01265,train_01290,train_01300,train_01319,train_01337"
