score_bin,count,score_min,score_max,score_mean,confidence_median,raw_model_disagreement_median,knn10_label_disagreement_median,dup_positive,score_col,ratio
0.55-0.60,1,0.5800024343975394,0.5800024343975394,0.5800024343975394,0.2110668420791626,0.6055334210395813,0.9,0,mislabel_score_v2_add,0.0007320644216691069
0.60-0.65,2,0.6026993051946044,0.6080258057363253,0.6053625554654648,0.40588054060935974,0.7029402554035187,0.75,0,mislabel_score_v2_add,0.0014641288433382138
0.65-0.70,3,0.6589632063253871,0.6663670276918856,0.6633091561415937,0.4291419982910156,0.7145709991455078,0.9,1,mislabel_score_v2_add,0.0021961932650073207
0.70-0.75,4,0.7186599300904658,0.7450850529798203,0.7338003340817181,0.641198456287384,0.820599228143692,0.8,0,mislabel_score_v2_add,0.0029282576866764276
0.75-0.80,0,,,,,,,0,mislabel_score_v2_add,0.0
0.80-0.85,6,0.8052117760368651,0.8431368042860263,0.8285639813514024,0.7916126847267151,0.8958063721656799,0.9,0,mislabel_score_v2_add,0.004392386530014641
0.85-0.90,6,0.8761252182367625,0.8996263283849204,0.8867077417062683,0.8367285430431366,0.9183642864227295,1.0,0,mislabel_score_v2_add,0.004392386530014641
0.90-0.95,11,0.9016124633264305,0.9459498130158273,0.9236441660973927,0.9094659090042114,0.9547328948974608,0.9,2,mislabel_score_v2_add,0.008052708638360176
0.95-1.00,19,0.951997305665426,0.9999695304924301,0.9779564806020645,0.99275004863739,0.9963750243186952,1.0,2,mislabel_score_v2_add,0.013909224011713031
0.00-0.05,1178,0.0,0.04849655367405946,0.0023344891454225676,0.9979956448078156,0.00100218376610425,0.0,132,mislabel_score_v2_mul,0.862371888726208
0.05-0.10,55,0.05010106041710059,0.09666162160164732,0.06609481861565786,0.92263662815094,0.0386816523969173,0.1,6,mislabel_score_v2_mul,0.04026354319180088
0.10-0.15,25,0.10145898770502963,0.14807001118749616,0.12521398446717294,0.7846760749816895,0.1076619625091552,0.2,3,mislabel_score_v2_mul,0.018301610541727673
0.15-0.20,19,0.1503369675652426,0.1997043268474407,0.18075311478132408,0.6536494493484497,0.1771236807107925,0.3,2,mislabel_score_v2_mul,0.013909224011713031
0.20-0.25,8,0.20313283489540213,0.24714257701225187,0.22291318360854026,0.3055201768875122,0.3472398817539215,0.2,3,mislabel_score_v2_mul,0.005856515373352855
0.25-0.30,11,0.2514803633826718,0.28475079514145385,0.2702651719035729,0.3959399461746216,0.3020300567150116,0.5,2,mislabel_score_v2_mul,0.008052708638360176
