,count,mean,std,min,50%,90%,95%,99%,99.5%,max
ood_score_original,1366.0,0.05532583570650925,0.19313918942736283,0.0,0.0,0.0020350020350019,0.5555555555555565,0.9981481481481487,1.0,1.0
global_nn1_ood,1366.0,0.5003660322108345,0.28878068449227084,0.0010980966325036604,0.5003660322108345,0.9000732064421669,0.9500366032210835,0.9900073206442166,0.9950036603221083,1.0
ood_score_nn1_only,1366.0,0.5003660322108345,0.28878068449227084,0.0010980966325036604,0.5003660322108345,0.9000732064421669,0.9500366032210835,0.9900073206442166,0.9950036603221083,1.0
panelness_anchor_max_rank,1366.0,0.5003660322108345,0.28878073411614147,0.0007320644216691069,0.5003660322108345,0.9000732064421669,0.9500366032210835,0.9897510980966325,0.9941434846266471,0.9989019033674963
panelness_anchor_top3_rank,1366.0,0.5003660322108345,0.28878077898155136,0.0007320644216691069,0.5003660322108345,0.9000732064421669,0.9500366032210835,0.9900073206442166,0.9950036603221083,1.0
panelness_anchor_top5_rank,1366.0,0.5003660322108345,0.28878077966133026,0.0007320644216691069,0.5003660322108345,0.9000732064421669,0.9500366032210835,0.9900073206442166,0.9950036603221083,1.0
panelness_anchor_proto_rank,1366.0,0.5003660322108345,0.28878077966133026,0.0007320644216691069,0.5003660322108345,0.9000732064421669,0.9500366032210835,0.9900073206442166,0.9950036603221083,1.0
panelness_nn1_rank,1366.0,0.5003660322108345,0.28878068449227084,0.0007320644216691069,0.5003660322108345,0.9000732064421669,0.9498535871156661,0.9898975109809662,0.9952415812591509,0.9996339677891655
ood_score_v3_max,1366.0,0.029096972256242915,0.11528354118475559,0.0,0.0,0.0015751898987623652,0.2367615333665849,0.6277517815951179,0.7986891510555492,0.9937774524158126
ood_score_v3_top3,1366.0,0.03029562533441513,0.11989402989887173,0.0,0.0,0.001930123452817322,0.2516742584458545,0.6228020935195161,0.8319544928256486,0.9953147877013178
ood_score_v3_top5,1366.0,0.032217836390603626,0.1254069852700485,0.0,0.0,0.0016207763279504652,0.2629561175498223,0.7149356784422676,0.8214432678378507,0.9953147877013178
ood_score_v3_proto,1366.0,0.03297540991345135,0.12558195483929416,0.0,0.0,0.0016551896127297802,0.2839207725737745,0.6173112602651404,0.8672401171303052,0.9937774524158126
mislabel_score_v2_add,1366.0,0.0582940704575503,0.1761269043164589,0.0,0.00124829562446725,0.11108552147666251,0.32676130938269166,0.9589144832629346,0.9941362957058162,0.99996953049243
dup_score,1366.0,0.08354685212298682,0.2594874180911143,0.0,0.0,0.25,1.0,1.0,1.0,1.0
