,count,mean,std,min,50%,90%,95%,99%,99.5%,max
ood_score_original,1366.0,0.05532583570650925,0.19313918942736283,0.0,0.0,0.0020350020350019,0.5555555555555565,0.9981481481481487,1.0,1.0
global_nn1_ood,1366.0,0.5003660322108345,0.28878068449227084,0.0010980966325036604,0.5003660322108345,0.9000732064421669,0.9500366032210835,0.9900073206442166,0.9950036603221083,1.0
ood_score_nn1_only,1366.0,0.5003660322108345,0.28878068449227084,0.0010980966325036604,0.5003660322108345,0.9000732064421669,0.9500366032210835,0.9900073206442166,0.9950036603221083,1.0
panelness_anchor_max_rank,1366.0,0.5003660322108345,0.28878073411614147,0.0007320644216691069,0.5003660322108345,0.9000732064421669,0.9500366032210835,0.9897510980966325,0.9941434846266471,0.9989019033674963
panelness_anchor_top3_rank,1366.0,0.5003660322108345,0.28878077898155136,0.0007320644216691069,0.5003660322108345,0.9000732064421669,0.9500366032210835,0.9900073206442166,0.9950036603221083,1.0
panelness_anchor_top5_rank,1366.0,0.5003660322108345,0.28878077966133026,0.0007320644216691069,0.5003660322108345,0.9000732064421669,0.9500366032210835,0.9900073206442166,0.9950036603221083,1.0
panelness_anchor_proto_rank,1366.0,0.5003660322108345,0.28878077966133026,0.0007320644216691069,0.5003660322108345,0.9000732064421669,0.9500366032210835,0.9900073206442166,0.9950036603221083,1.0
panelness_nn1_rank,1366.0,0.5003660322108345,0.28878068449227084,0.0007320644216691069,0.5003660322108345,0.9000732064421669,0.9498535871156661,0.9898975109809662,0.9952415812591509,0.9996339677891655
ood_score_v3_max,1366.0,0.03563155001952329,0.13047289865320263,0.0,0.0,0.0019188013331496686,0.3347706652519981,0.673373289242613,0.8389395037917184,0.9953330893118595
ood_score_v3_top3,1366.0,0.036536028541279505,0.13409452388950682,0.0,0.0,0.0019563430983634664,0.3429414181610382,0.67788189658614,0.8670468627002303,0.9964860907759883
ood_score_v3_top5,1366.0,0.037989055000730285,0.13892130443087408,0.0,0.0,0.0019407006961910506,0.35532502379134917,0.7579953393835149,0.8464055175072742,0.9964860907759883
ood_score_v3_proto,1366.0,0.03856301636171583,0.14065321468882014,0.0,0.0,0.0018100866380513787,0.38520093187003923,0.6886218404954654,0.9004300878477289,0.9953330893118595
mislabel_score_v2_add,1366.0,0.0582940704575503,0.1761269043164589,0.0,0.00124829562446725,0.11108552147666251,0.32676130938269166,0.9589144832629346,0.9941362957058162,0.99996953049243
dup_score,1366.0,0.08354685212298682,0.2594874180911143,0.0,0.0,0.25,1.0,1.0,1.0,1.0
