score_col,top50_score_min,top50_score_max,label0_count,label1_count,dup_score_mean,original_ood_mean,final_ood_mean,panelness_anchor_max_rank_mean,panelness_anchor_top3_rank_mean,panelness_anchor_top5_rank_mean,panelness_anchor_proto_rank_mean,panelness_nn1_rank_mean
ood_score_original,0.7122507122507135,1.0,30,20,0.02,0.895384615384616,0.5570329035695072,0.6449926793557833,0.6016837481698389,0.5433089311859444,0.4694143484626647,0.1699926793557833
global_nn1_ood,0.9641288433382138,1.0,29,21,0.0,0.6995767195767202,0.5041345160181181,0.5232137628111274,0.5021083455344071,0.4673792093704246,0.529121522693997,0.018667642752562226
ood_score_v3_max,0.4196644213115667,0.9953330893118595,29,21,0.0,0.813487993487994,0.6033108256298232,0.4234480234260615,0.3987408491947291,0.3669399707174232,0.45159590043923864,0.11795021961932652
ood_score_v3_top3,0.4298617032877653,0.9964860907759883,27,23,0.0,0.8012210012210018,0.5993849322549912,0.4218228404099562,0.370190336749634,0.326398243045388,0.435900439238653,0.10016837481698389
ood_score_v3_top5,0.4339444447423953,0.9964860907759883,28,22,0.02,0.8127798127798136,0.5905966634905147,0.4523645680819912,0.3926500732064422,0.3272913616398243,0.4056076134699854,0.11961932650073209
ood_score_v3_proto,0.47709810795462393,0.9953330893118595,27,23,0.02,0.8758485958485964,0.5648565716860011,0.5898462664714494,0.5383308931185944,0.4710248901903368,0.39156661786237196,0.1692825768667643
