run,epoch,train_rows,use_dup_weight,train_loss,train_acc,train_auc,train_sum_sample_weight,train_mean_sample_weight,elapsed_sec,val_all_n,val_all_loss,val_all_acc,val_all_auc,val_without_candidates_n,val_without_candidates_loss,val_without_candidates_acc,val_without_candidates_auc,val_candidates_only_n,val_candidates_only_loss,val_candidates_only_acc,val_candidates_only_auc
PR1_top50_fold_balanced_remove,1,1051,False,0.6256798349824211,0.6660323501427212,0.7089711111450242,1051.0,1.0,6.263428688049316,274,0.6021073883684882,0.6897810218978102,0.7627811860940695,265,0.5555673221372208,0.7094339622641509,0.7943185904350953,9,1.9725587632921007,0.1111111111111111,0.0
PR1_top50_fold_balanced_remove,2,1051,False,0.24547717289965454,0.9115128449096099,0.9669182169182169,1051.0,1.0,4.817003488540649,274,0.6559196945524564,0.6897810218978102,0.7653788758083235,265,0.6040451085792398,0.7132075471698113,0.7921610931319669,9,2.1832957797580295,0.0,0.0
PR1_top50_fold_balanced_remove,3,1051,False,0.1095611033668754,0.9647954329210275,0.9935713522670045,1051.0,1.0,5.514031648635864,274,0.7775815409900498,0.7299270072992701,0.7856629635770739,265,0.6991482860637162,0.7547169811320755,0.817092173079228,9,3.086676491631402,0.0,0.0
PR1_top50_fold_balanced_remove,4,1051,False,0.08289429895955534,0.9762131303520457,0.9956468326033543,1051.0,1.0,5.900131464004517,274,0.8762526458849872,0.7445255474452555,0.800917481899077,265,0.7516813566099922,0.769811320754717,0.829078269207719,9,4.544557359483507,0.0,0.0
PR1_top50_fold_balanced_remove,5,1051,False,0.08651716264228838,0.9714557564224549,0.9951050711920277,1051.0,1.0,6.427267074584961,274,1.0513393191525535,0.7591240875912408,0.7868236334494004,265,0.9184363369671804,0.7811320754716982,0.8103200287666308,9,4.964572482638889,0.1111111111111111,0.0
PR1_top50_fold_balanced_remove,6,1051,False,0.08011216995395812,0.9714557564224549,0.9958147023364414,1051.0,1.0,5.780270576477051,274,1.0902471641608833,0.7299270072992701,0.7791963742883987,265,0.94270842435225,0.7547169811320755,0.8060649646410164,9,5.433992173936632,0.0,0.0
PR1_top50_fold_balanced_remove,7,1051,False,0.08737450475130162,0.9657469077069457,0.9953645062340715,1051.0,1.0,4.860672473907471,274,0.9946752807846034,0.7262773722627737,0.774995854750456,265,0.8473589870164979,0.7509433962264151,0.8078628790602902,9,5.331964280870226,0.0,0.0
PR1_top50_fold_balanced_remove,8,1051,False,0.08506933402723778,0.966698382492864,0.9951584842889191,1051.0,1.0,5.7170045375823975,274,1.1101968904878998,0.708029197080292,0.7673133255955341,265,0.976055401676106,0.7320754716981132,0.7956370610092293,9,5.060212029351129,0.0,0.0
PR1_top50_fold_balanced_remove,9,1051,False,0.10854147404403941,0.9495718363463368,0.9922207639598944,1051.0,1.0,5.750087022781372,274,0.983934297613854,0.7372262773722628,0.7887028132426905,265,0.8379215654337181,0.7584905660377359,0.8258420232530265,9,5.283162434895833,0.1111111111111111,0.0
PR1_top50_fold_balanced_remove,10,1051,False,0.04875510515597296,0.9828734538534729,0.9987371617806401,1051.0,1.0,6.243055105209351,274,0.9323491339374633,0.7554744525547445,0.7899740231028575,265,0.7824931792493136,0.7811320754716982,0.8241639697950377,9,5.34446038140191,0.0,0.0
