run,epoch,train_rows,use_dup_weight,train_loss,train_acc,train_auc,train_sum_sample_weight,train_mean_sample_weight,elapsed_sec,val_all_n,val_all_loss,val_all_acc,val_all_auc,val_without_top100_n,val_without_top100_loss,val_without_top100_acc,val_without_top100_auc,val_top100_only_n,val_top100_only_loss,val_top100_only_acc,val_top100_only_auc
R2_remove_oof_top100_dup_weight,1,1008,True,0.5644690277335133,0.7192460317460317,0.774418024609245,964.84375,0.9571862599206349,6.929262161254883,274,0.5871806583047783,0.7372262773722628,0.7800254241972033,258,0.49333868689777316,0.7790697674418605,0.8336075949367087,16,2.1003825664520264,0.0625,0.05454545454545453
R2_remove_oof_top100_dup_weight,2,1008,True,0.21591219848780496,0.9236111111111112,0.974351513136016,964.84375,0.9571862599206349,6.324886083602905,274,0.7169787394304346,0.7445255474452555,0.7852208036257116,258,0.5529367662677469,0.7868217054263565,0.8410759493670886,16,3.3621554374694824,0.0625,0.07272727272727271
R2_remove_oof_top100_dup_weight,3,1008,True,0.10158696875326063,0.9642857142857143,0.9945169604256734,964.84375,0.9571862599206349,5.366767406463623,274,0.7332950091927591,0.7481751824817519,0.8107555408168907,258,0.6020321717789007,0.7829457364341085,0.8617088607594937,16,2.849907875061035,0.1875,0.09090909090909088
R2_remove_oof_top100_dup_weight,4,1008,True,0.060371200022276354,0.9801587301587301,0.9980711672763551,964.84375,0.9571862599206349,6.490851163864136,274,0.7825573632751939,0.7445255474452555,0.8042889515282153,258,0.6301987459955289,0.7868217054263565,0.8539873417721519,16,3.239340305328369,0.0625,0.036363636363636355
R2_remove_oof_top100_dup_weight,5,1008,True,0.07506141680163833,0.9801587301587301,0.9957598935816429,964.84375,0.9571862599206349,6.746872663497925,274,0.92421278031203,0.7262773722627737,0.7850549936439507,258,0.6669320856877999,0.7674418604651163,0.8462658227848101,16,5.0728654861450195,0.0625,0.0
R2_remove_oof_top100_dup_weight,6,1008,True,0.07449750462400648,0.9692460317460317,0.9965081476554706,964.84375,0.9571862599206349,6.719722270965576,274,1.0024285638419381,0.6861313868613139,0.7741115348477311,258,0.8392485712849816,0.7170542635658915,0.8184177215189874,16,3.6337056159973145,0.1875,0.12727272727272723
R2_remove_oof_top100_dup_weight,7,1008,True,0.06556664892024387,0.9771825396825397,0.9967575656800798,964.84375,0.9571862599206349,6.484385013580322,274,1.0650254584794496,0.7518248175182481,0.7775935444647101,258,0.8164785972168279,0.7945736434108527,0.8329113924050633,16,5.072843551635742,0.0625,0.12727272727272723
R2_remove_oof_top100_dup_weight,8,1008,True,0.09112937502353358,0.9652777777777778,0.994018124376455,964.84375,0.9571862599206349,5.354410409927368,274,1.106674963676364,0.7372262773722628,0.7887580832366107,258,0.8614897766374341,0.7713178294573644,0.8382278481012658,16,5.060285568237305,0.1875,0.03636363636363637
R2_remove_oof_top100_dup_weight,9,1008,True,0.03927033598733093,0.9920634920634921,0.9989940139674094,964.84375,0.9571862599206349,5.995268106460571,274,1.1214965053793233,0.7408759124087592,0.7954457525009672,258,0.8684911712274938,0.7829457364341085,0.8419620253164556,16,5.201207637786865,0.0625,0.14545454545454542
R2_remove_oof_top100_dup_weight,10,1008,True,0.06299788727649008,0.9761904761904762,0.9973935816428334,964.84375,0.9571862599206349,6.660841941833496,274,1.0332364644447383,0.7262773722627737,0.7790858343005582,258,0.7843292036721873,0.7674418604651163,0.8329746835443038,16,5.046866416931152,0.0625,0.09090909090909088
